ID,Last Name,Initials,g,h,h_m,h_s,Include
611b8404f094d1eef2b2e8ef3a5c5838,GURUSAMY,KS,61,32,16.8833,1.529565025,1
6d95e899e532858d8e4965dc4f46a545,HAUSER,CJ,47,32,16.1667,1.529565025,1
ffe4c6cbb33b84a0ee8dc48bb9e35ecf,JUN,Y,41,32,9.00952,1.529565025,1
16d81f4e16ed6d5e8330d536a9cc257e,CHEN,H,49,31,18.3667,1.481766118,1
67b25f247f104ceb10d415ab6546afc9,XU,Z,59,31,10.0905,1.481766118,1
6ffa184426fdb281a31131f51eb54b19,BERGERS,G,39,31,9.70952,1.481766118,1
b76069b285b60b30a1c035a6e9035296,SOO,KC,44,30,14.95,1.433967211,1
fb309888f50549dc18c1d1886735d4bb,MUMMANENI,PV,46,29,14.7667,1.386168304,1
4a06182c806f991ce5baf7d7ff93d41e,FANN,JI,60,29,14.4333,1.386168304,1
5aaa43f2f9f789e26d1139c7e315bfa0,BERVEN,S,53,29,12.9167,1.386168304,1
4706d7beb81e16e0eb4c60d0b463b990,GRUENERT,DC,62,29,12.8429,1.386168304,1
c3dc9d853965e73b8e4a6a43f21b9b06,INGE,TH,56,29,11.95,1.386168304,1
571a5e9c66f5e89aa12744d1429175b8,KLIOT,M,48,29,11.95,1.386168304,1
6f252ea39d5b5c4d27cd0ad3da691773,NOBLE,LJ,59,29,11.55,1.386168304,1
11ada0ad39e151777ba3770715487cb2,PANTER,SS,51,29,11.4667,1.386168304,1
35a427183f6ce14989369ef0d2818afb,VALENTINI,V,44,28,13.9667,1.338369397,1
fd6950805c1bceb2e8663910c7e3ed6d,GE,L,45,28,12.881,1.338369397,1
486a14160276dd5e5a76a295c1637d2e,FISCHBEIN,NJ,54,28,12.3667,1.338369397,1
d1078943a9401cf50ab9877d60cb6ab4,QUINONES-HINOJOSA,A,45,27,12.2667,1.29057049,1
9685def2b5e148e180f1fba8a8163788,BOUDREAU,N,59,27,12.1667,1.29057049,1
12e69c6951f4d0dc98fd0dbfff8e1a18,SCHIMA,H,40,27,9.98333,1.29057049,1
ed8939b59a2f996b6143f04b8ff2f7a9,RUOL,A,42,27,7.83333,1.29057049,1
447365b5cade3410b04964b0364698b5,CILLO,U,46,26,11.2333,1.242771583,1
5efd97999986569c058fb5586dcaaf21,LEE,H,47,26,10.8333,1.242771583,1
b74f4d63bad9792d725e0569af5c03e3,MICLAU,T,49,26,9.95,1.242771583,1
9240aa807941dcfcb86aaa062cb743e2,GIROD,S,44,25,13.7333,1.194972676,1
5fd9efbee6e09784275b101b2b50a964,IANNETTI,G,38,25,13.3167,1.194972676,1
24c6449586790f1b46de52988f612203,BOZIC,KJ,42,25,11.8929,1.194972676,1
ee06c64478d45cd38429ec6b08bd88c1,PEARL,JM,41,25,11.6833,1.194972676,1
60bb961cd37260648a3afdee45e779f6,GUPTA,N,49,25,11.5333,1.194972676,1
7b7efafea2d2ef0265cc99f2f39cd5d9,CORNFIELD,DN,43,25,10.9833,1.194972676,1
0ad69098f825d2ce5ff2165ff02ce65c,FOLETTO,M,41,25,7.91667,1.194972676,1
f394e72e5108b31907190ba5ea517040,KIM,IJ,35,24,7.9381,1.147173769,1
dd0f9ab11f96a76a4aa4c2f21cc4c153,EWING,C,43,24,6.84286,1.147173769,1
929b7bb2170aa23b0bff6e99948789d6,AL-QATTAN,MM,34,23,19.6667,1.099374862,1
8c8c7283232612149cebfd865a514e54,DRAGOO,JL,50,23,9.51667,1.099374862,1
bf1d483d444047d96bd8106b8c0b260e,CONCEPCION,W,40,23,8.8,1.099374862,1
f455082871261d4ee7d630e2df5818d4,BHARGAVA,A,37,23,6.96667,1.099374862,1
847b5a2afce6732c4b30dcf016917590,BLECK,EE,41,22,14.1667,1.051575955,1
26e7e99ee2a54b5b4fc1135579f7283d,HARRIS,HW,37,22,11.2833,1.051575955,1
12a772fd6dd938e65f96803f46a36ccd,AREZZO,A,34,22,10.3667,1.051575955,1
a4826badd93667cf874df99cadcc249d,TONIATO,A,34,22,8.93333,1.051575955,1
9d52ab03674a6542f303f84d983cb6fc,KNOWLES,CH,33,21,10.371,1.003777048,1
95b38e9ff9175f26de069e0444168e66,FORD,HR,41,21,8.85,1.003777048,1
a8544de997d0d3ffec1b2d9098e8f94d,HARSH,GR,42,21,6.51667,1.003777048,1
53ac297e20494b4fa22d587439991e43,HA,R,55,20,10.5762,0.955978141,1
0c143482753bf69e1d8dde2652322e13,COUREY,MS,30,20,10.05,0.955978141,1
1997edef821a0e59a96c301944966258,GURTNER,GC,60,20,9.97619,0.955978141,1
ad1ed333799117961e19073b342bb8bb,FISCHBEIN,MP,40,20,7.65,0.955978141,1
2b6a667739a7e0b3eccf71cac634c7b0,HENTZ,VR,40,20,6.96667,0.955978141,1
28301dc92305147e960e5a48bdc45cef,GREGG,D,40,20,5.6,0.955978141,1
4427945ed18e010013f281bda10a939b,AGHI,MK,38,19,9.18333,0.908179234,1
84d99bd0ba9c152571dc9000b22ea1f0,TAKEMOTO,SK,44,19,7.83333,0.908179234,1
7af6472dbb2721a63637f64b93125f30,DIRBAS,FM,40,19,7.4,0.908179234,1
372656dfea8e9576599bf8c8d1140683,DUTTA,S,27,18,9.81667,0.860380327,1
98ac62d5c901dc8dc13660bb90ba0285,MURR,A,26,17,9.05,0.81258142,1
b43ee7bce924e6715b65e9860b352ec5,TREU,T,20,11,9.33333,0.525787978,1
e08568a0850fd87c22026bfb3f17e89b,CHENG,I,36,20,6.88333,0.955978141,
1fbaf614224ef9fb4b8201d62437f611,GRECO,RS,34,20,6.65,0.955978141,
52735a051b7f2469a3fd893b3430e842,VERA,A,20,20,6.3,0.955978141,
1d647d5e8fbb039d93dddc720a6f3488,HELMS,JA,20,20,5.2,0.955978141,
957497bee31ee84867e3e096c612ab10,HELLER,S,22,20,5.18333,0.955978141,
db1bb2d2ffc433795a2298d3db075641,HENDERSON,JM,20,20,4.85,0.955978141,
899bfdd851961ea91833ac001e1a190b,WHYTE,RI,20,20,4.79286,0.955978141,
c8c61d343eb135a5c59a237e1b005702,HERNANDEZ-BOUSSARD,T,21,20,4.7,0.955978141,
